puid,hid,fullname,full_dob,relationship,sex,marstat,telephone,Eaid,Cluster_Number,Source_Dataset,Match,cluster_sequential_number,Comments
XRJ632882445,139,LANDRE DIEUDONNE,05/1964,9.0,M,5.0,,MATABAMAGERAGERE,1,cen,"XRJ632882445,XRJ632882445,",0,
XRJ632882445,139,LANDRE DIEUDONNE,05/1952,9.0,M,5.0,2142433267.0,MATABAMAGERAGERE,1,pes,"XRJ632882445,XRJ632882445,",0,
XRJ632882445,139,LANDRE DIEUDONNE,05/1964,9.0,M,5.0,2142433267.0,MATABAMAGERAGERE,1,pes,"XRJ632882445,XRJ632882445,",0,
XWH788287581,139,TUYISENGE JEAN GASPARD,10/1999,10.0,M,3.0,,MATABAMAGERAGERE,2,cen,"XWH788287581,XWH788287581,",1,
XWH788287581,139,TUYISENGE JEAN GASPARD,99/9999,10.0,M,3.0,,MATABAMAGERAGERE,2,cen,"XWH788287581,XWH788287581,",1,
XWH788287581,139,TUYISENGE JEAN GASPARD,99/1999,10.0,M,3.0,2142433267.0,MATABAMAGERAGERE,2,pes,"XWH788287581,XWH788287581,",1,
XWH788287581,139,TUYISENGE JEAN GASPARD,10/1999,10.0,M,3.0,2142433267.0,MATABAMAGERAGERE,2,pes,"XWH788287581,XWH788287581,",1,
XZQ669054346,139,ROSE MURENZI,11/1946,2.0,F,3.0,,MATABAMAGERAGERE,3,cen,"XZQ669054346,XZQ669054346,",2,
XZQ669054346,139,ROSE MURENZI,03/1946,2.0,F,3.0,,MATABAMAGERAGERE,3,cen,"XZQ669054346,XZQ669054346,",2,
XZQ669054346,139,ROSE MURENZI,99/1946,2.0,F,3.0,2142433267.0,MATABAMAGERAGERE,3,pes,"XZQ669054346,XZQ669054346,",2,
Y00986922705,140,HONDA MORIS UWIZEYE,99/1992,8.0,M,3.0,,SARUHEMBENYAGAHANGA,4,cen,"Y00986922705,Y00986922705,",3,
Y00986922705,140,HONDA MORIS UWIZEYE,05/1931,8.0,M,3.0,,SARUHEMBENYAGAHANGA,4,cen,"Y00986922705,Y00986922705,",3,
Y00986922705,140,HONDA MORIS UWIZEYE,08/1931,8.0,M,3.0,6495405919.0,SARUHEMBENYAGAHANGA,4,pes,"Y00986922705,Y00986922705,",3,
Y00986922705,140,HONDA MORIS UWIZEYE,05/9999,,M,3.0,6495405919.0,SARUHEMBENYAGAHANGA,4,pes,"Y00986922705,Y00986922705,",3,
Y3S338388462,140,JEAN BOSCO KUBWIMANA,03/1987,8.0,M,,,SARUHEMBENYAGAHANGA,5,cen,"Y3S338388462,Y3S338388462,",4,
Y3S338388462,140,JEAN BOSCO KUBWIMANA,99/1987,8.0,M,1.0,,SARUHEMBENYAGAHANGA,5,cen,"Y3S338388462,Y3S338388462,",4,
Y3S338388462,140,JEAN BOSCO KUBWIMANA,03/1987,8.0,M,1.0,6495405919.0,SARUHEMBENYAGAHANGA,5,pes,"Y3S338388462,Y3S338388462,",4,
