hid,puid,forename,middlenm,last_name,names,province,district,sector,cellule,village,month,year,age,HoH,marstat,marstatdesc,relationship,sex,telephone,lat,long,full_loc,Eaid,Dsid
2,0LN876294968,JFF,,AIMABLE,JFF  AIMABLE,SOUTH,NYARUGURU,BUSANZE,KIRARANGOMBE,BUKINANYANA,1,1962,63,JEFF AIMABLE,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,10,M,6656909617,-2.868862308,29.31988462,RWANDA NYARUGURU BUSANZE KIRARANGOMBE BUKINANYANA,KIRARANGOMBEBUKINANYANA,NYARUGURUBUSANZE
2,0LU121262026,NSENGIMANA,,HATUNGIMANA,NSENGIMANA  HATUNGIMANA,SOUTH,NYARUGURU,BUSANZE,KIRARANGOMBE,BUKINANYANA,,1988,34,JEFF AIMABLE,,,10,M,6656909617,-2.868862308,29.31988462,RWANDA NYARUGURU BUSANZE KIRARANGOMBE BUKINANYANA,KIRARANGOMBEBUKINANYANA,NYARUGURUBUSANZE
2,0LZ241330567,AIMEE,,AUGUSTIN,AIMEE  AUGUSTIN,SOUTH,NYARUGURU,BUSANZE,KIRARANGOMBE,BUKINANYANA,,1982,40,JEFF AIMABLE,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,9,F,6656909617,-2.868862308,29.31988462,RWANDA NYARUGURU BUSANZE KIRARANGOMBE BUKINANYANA,KIRARANGOMBEBUKINANYANA,NYARUGURUBUSANZE
3,0VH495447617,WILHELIM,,NSHIMIRIMANA,WILHELIM  NSHIMIRIMANA,WEST,NGORORERO,BWIRA,BUNGWE,KIRWA,5,2012,3,CAPTONE SHYAKA,6,NEVER MARRIED,,M,,-1.945127194,29.5708261,RWANDA NGORORERO BWIRA BUNGWE KIRWA,BUNGWEKIRWA,NGOROREROBWIRA
3,10K373893071,CAPTONE,,SHYAKA,CAPTONE  SHYAKA,WEST,NGORORERO,BWIRA,BUNGWE,KIRWA,,,85,CAPTONE SHYAKA,3,LIVE IN A POLYGAMOUS UNION,7,M,,-1.945127194,29.5708261,RWANDA NGORORERO BWIRA BUNGWE KIRWA,BUNGWEKIRWA,NGOROREROBWIRA
3,13A171377593,ALEX,,RAFIKII,ALEX  RAFIKII,WEST,NGORORERO,BWIRA,BUNGWE,KIRWA,11,2008,15,CAPTONE SHYAKA,,,4,M,,-1.945127194,29.5708261,RWANDA NGORORERO BWIRA BUNGWE KIRWA,BUNGWEKIRWA,NGOROREROBWIRA
3,14T047880773,BORIS,,MUHIRWA,BORIS  MUHIRWA,KIGALI,GASABO,BUMBOGO,KINYAGA,RUBUNGO,7,1978,44,CAPTONE SHYAKA,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,5,M,,-1.921268564,30.15727661,RWANDA GASABO BUMBOGO KINYAGA RUBUNGO,KINYAGARUBUNGO,GASABOBUMBOGO
5,1JK664679330,BOB,h,CYPRIEN,BOB  CYPRIEN,SOUTH,NYARUGURU,BUSANZE,RUNYOMBYI,BUGINA,12,,15,RUHUMURIZA NIYONSABA,6,NEVER MARRIED,5,M,4179948675,-2.769596855,29.51647312,RWANDA NYARUGURU BUSANZE RUNYOMBYI BUGINA,RUNYOMBYIBUGINA,NYARUGURUBUSANZE
5,1KS862729097,MIHIGO,,BIZIMANA,MIHIGO  BIZIMANA,SOUTH,NYARUGURU,BUSANZE,RUNYOMBYI,BUGINA,,1998,27,RUHUMURIZA NIYONSABA,4,DIVORCED,1,M,4179948675,-2.769596855,29.51647312,RWANDA NYARUGURU BUSANZE RUNYOMBYI BUGINA,RUNYOMBYIBUGINA,NYARUGURUBUSANZE
5,1YQ368637470,RUHUMURIZA,,NIYONSABA,RUHUMURIZA  NIYONSABA,SOUTH,NYARUGURU,BUSANZE,RUNYOMBYI,BUGINA,2,1970,52,RUHUMURIZA NIYONSABA,7,WIDOWED,6,M,4179948675,-2.769596855,29.51647312,RWANDA NYARUGURU BUSANZE RUNYOMBYI BUGINA,RUNYOMBYIBUGINA,NYARUGURUBUSANZE
6,20T980747706,TRESOR,HAGAI,BIENVENU,TRESOR HAGAI BIENVENU,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,,,9,RODRIGUE ANGE,6,NEVER MARRIED,10,M,,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO
6,2AR510329821,RODRIGUE,,ANGE,RODRIGUE  ANGE,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,7,,85,RODRIGUE ANGE,4,DIVORCED,13,M,,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO
6,2DM676695622,OBED,LOUIS,GERMAIN,OBED LOUIS GERMAIN,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,10,,18,RODRIGUE ANGE,4,DIVORCED,10,M,,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO
6,2FP499829763,ROSINE,,SHYAKA,ROSINE  SHYAKA,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,11,,15,RODRIGUE ANGE,6,NEVER MARRIED,3,F,,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO
6,2GD566899259,JOSEE,BAKHITA,UWIZEYIMANA,JOSEE BAKHITA UWIZEYIMANA,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,9,1962,60,RODRIGUE ANGE,6,NEVER MARRIED,,F,,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO
6,2JL058378386,GAEL,,DIEUDONNE,GAEL  DIEUDONNE,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,3,2009,14,RODRIGUE ANGE,6,NEVER MARRIED,3,M,,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO
7,2KP260446094,ANITHA,,KAYITARE,ANITHA  KAYITARE,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,12,1978,84,DERRICK SYLVESTRE,,,9,,2162723616,-2.256896882,30.65046669,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA
7,2ZF944688402,GABLIEL,,KAREMERA,GABLIEL  KAREMERA,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,7,1926,96,DERRICK SYLVESTRE,5,SEPARATED,11,M,2162723616,-2.256896882,30.65046669,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA
7,36M147486551,DERRICK,,SYLVESTRE,DERRICK  SYLVESTRE,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,2,,98,DERRICK SYLVESTRE,3,LIVE IN A POLYGAMOUS UNION,3,M,2162723616,-2.256896882,30.65046669,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA
7,3BJ127540951,,FRANCOIS,ELIAS, FRANCOIS ELIAS,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,1,2015,44,DERRICK SYLVESTRE,5,SEPARATED,4,M,2162723616,-2.256896882,30.65046669,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA
8,3KY581042298,CLAUDINE,,HABYARIMANA,CLAUDINE  HABYARIMANA,WEST,RUSIZI,BUGARAMA,NYANGE,KAMABUYE,11,1989,33,DIVINE NIYONSABA,5,SEPARATED,10,M,6496777626,-2.704892921,29.02596462,RWANDA RUSIZI BUGARAMA NYANGE KAMABUYE,NYANGEKAMABUYE,RUSIZIBUGARAMA
