hid,puid,forename,middlenm,last_name,names,province,district,sector,cellule,village,month,year,age,HoH,marstat,marstatdesc,relationship,sex,telephone,lat,long,full_loc,Eaid,Dsid
1,07H778157476,MUTERABA,,KAMANZI,MUTERABA  KAMANZI,NORTH,GAKENKE,BUSENGO,BIRAMBO,GITWA,11,,31,PRINCE BUSINGYE,3,LIVE IN A POLYGAMOUS UNION,8,F,8986093136,-2.144599815,29.52188657,RWANDA GAKENKE BUSENGO BIRAMBO GITWA,BIRAMBOGITWA,GAKENKEBUSENGO
1,0CG004517160,ISHIMWE,DIANE,GENA,ISHIMWE DIANE GENA,NORTH,GAKENKE,BUSENGO,BIRAMBO,GITWA,,1962,60,PRINCE BUSINGYE,3,LIVE IN A POLYGAMOUS UNION,,F,8986093136,-2.144599815,29.52188657,RWANDA GAKENKE BUSENGO BIRAMBO GITWA,BIRAMBOGITWA,GAKENKEBUSENGO
1,0EK990819563,PRINCE,,BUSINGYE,PRINCE  BUSINGYE,NORTH,GAKENKE,BUSENGO,BIRAMBO,GITWA,9,1961,61,PRINCE BUSINGYE,3,LIVE IN A POLYGAMOUS UNION,4,M,8986093136,-2.144599815,29.52188657,RWANDA GAKENKE BUSENGO BIRAMBO GITWA,BIRAMBOGITWA,GAKENKEBUSENGO
1,0K1554251231,NAZOU,,NGABONZIZA,NAZOU  NGABONZIZA,NORTH,GAKENKE,BUSENGO,BIRAMBO,GITWA,12,2011,11,PRINCE BUSINGYE,,,5,F,8986093136,-2.144599815,29.52188657,RWANDA GAKENKE BUSENGO BIRAMBO GITWA,BIRAMBOGITWA,GAKENKEBUSENGO
2,0LN876294968,JEFF,,AIMABLE,JEFF  AIMABLE,SOUTH,NYARUGURU,BUSANZE,KIRARANGOMBE,BUKINANYANA,3,,63,JEFF AIMABLE,2,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,10,M,6656909617,-2.868862308,29.31988462,RWANDA NYARUGURU BUSANZE KIRARANGOMBE BUKINANYANA,KIRARANGOMBEBUKINANYANA,NYARUGURUBUSANZE
2,0LU121262026,NSENGIMANA,,HATUNGIMANA,NSENGIMANA  HATUNGIMANA,SOUTH,NYARUGURU,BUSANZE,KIRARANGOMBE,BUKINANYANA,1,,34,JEFF AIMABLE,6,NEVER MARRIED,,M,6656909617,-2.868862308,29.31988462,RWANDA NYARUGURU BUSANZE KIRARANGOMBE BUKINANYANA,KIRARANGOMBEBUKINANYANA,NYARUGURUBUSANZE
2,0LZ241330567,AIMEE,,AUGUSTIN,AIMEE  AUGUSTIN,SOUTH,NYARUGURU,BUSANZE,KIRARANGOMBE,BUKINANYANA,1,1982,40,JEFF AIMABLE,1,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,9,F,6656909617,-2.868862308,29.31988462,RWANDA NYARUGURU BUSANZE KIRARANGOMBE BUKINANYANA,KIRARANGOMBEBUKINANYANA,NYARUGURUBUSANZE
3,0VH495447617,,,NSHIMIRIMANA,  NSHIMIRIMANA,WEST,NGORORERO,BWIRA,BUNGWE,KIRWA,5,1970,4,CAPTONE SHYAKA,6,NEVER MARRIED,4,M,,-1.945001968,29.57078924,RWANDA NGORORERO BWIRA BUNGWE KIRWA,BUNGWEKIRWA,NGOROREROBWIRA
3,10K373893071,CAPTONE,,SHYAKA,CAPTONE  SHYAKA,WEST,NGORORERO,BWIRA,BUNGWE,KIRWA,9,,84,CAPTONE SHYAKA,3,LIVE IN A POLYGAMOUS UNION,7,M,,-1.945001968,29.57078924,RWANDA NGORORERO BWIRA BUNGWE KIRWA,BUNGWEKIRWA,NGOROREROBWIRA
3,13A171377593,ALEX,,RAFIKI,ALEX  RAFIKI,WEST,NGORORERO,BWIRA,BUNGWE,KIRWA,11,2008,14,CAPTONE SHYAKA,6,NEVER MARRIED,4,M,,-1.945001968,29.57078924,RWANDA NGORORERO BWIRA BUNGWE KIRWA,BUNGWEKIRWA,NGOROREROBWIRA
