hid_cen,puid_cen,forename_cen,middlenm_cen,last_name_cen,names_cen,province_cen,district_cen,sector_cen,cellule_cen,village_cen,month_cen,year_cen,age_cen,HoH_cen,marstat_cen,marstatdesc_cen,relationship_cen,sex_cen,telephone_cen,lat_cen,long_cen,full_loc_cen,EAid_cen,DSid_cen,dob_cen
2,CEN_0LN876294968,JFF,nan,AIMABLE,JFF  AIMABLE,SOUTH,NYARUGURU,BUSANZE,KIRARANGOMBE,BUKINANYANA,1.0,1962.0,63,JEFF AIMABLE,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,10.0,M,6656909617.0,-2.868862308,29.31988462,RWANDA NYARUGURU BUSANZE KIRARANGOMBE BUKINANYANA,KIRARANGOMBEBUKINANYANA,NYARUGURUBUSANZE,1.0/1962.0
2,CEN_0LU121262026,NSENGIMANA,nan,HATUNGIMANA,NSENGIMANA  HATUNGIMANA,SOUTH,NYARUGURU,BUSANZE,KIRARANGOMBE,BUKINANYANA,nan,1988.0,34,JEFF AIMABLE,nan,nan,10.0,M,6656909617.0,-2.868862308,29.31988462,RWANDA NYARUGURU BUSANZE KIRARANGOMBE BUKINANYANA,KIRARANGOMBEBUKINANYANA,NYARUGURUBUSANZE,nan/1988.0
2,CEN_0LZ241330567,AIMEE,nan,AUGUSTIN,AIMEE  AUGUSTIN,SOUTH,NYARUGURU,BUSANZE,KIRARANGOMBE,BUKINANYANA,nan,1982.0,40,JEFF AIMABLE,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,9.0,F,6656909617.0,-2.868862308,29.31988462,RWANDA NYARUGURU BUSANZE KIRARANGOMBE BUKINANYANA,KIRARANGOMBEBUKINANYANA,NYARUGURUBUSANZE,nan/1982.0
3,CEN_0VH495447617,WILHELIM,nan,NSHIMIRIMANA,WILHELIM  NSHIMIRIMANA,WEST,NGORORERO,BWIRA,BUNGWE,KIRWA,5.0,2012.0,3,CAPTONE SHYAKA,6.0,NEVER MARRIED,nan,M,nan,-1.9451271940000001,29.5708261,RWANDA NGORORERO BWIRA BUNGWE KIRWA,BUNGWEKIRWA,NGOROREROBWIRA,5.0/2012.0
3,CEN_10K373893071,CAPTONE,nan,SHYAKA,CAPTONE  SHYAKA,WEST,NGORORERO,BWIRA,BUNGWE,KIRWA,nan,nan,85,CAPTONE SHYAKA,3.0,LIVE IN A POLYGAMOUS UNION,7.0,M,nan,-1.9451271940000001,29.5708261,RWANDA NGORORERO BWIRA BUNGWE KIRWA,BUNGWEKIRWA,NGOROREROBWIRA,nan/nan
3,CEN_13A171377593,ALEX,nan,RAFIKII,ALEX  RAFIKII,WEST,NGORORERO,BWIRA,BUNGWE,KIRWA,11.0,2008.0,15,CAPTONE SHYAKA,nan,nan,4.0,M,nan,-1.9451271940000001,29.5708261,RWANDA NGORORERO BWIRA BUNGWE KIRWA,BUNGWEKIRWA,NGOROREROBWIRA,11.0/2008.0
3,CEN_14T047880773,BORIS,nan,MUHIRWA,BORIS  MUHIRWA,KIGALI,GASABO,BUMBOGO,KINYAGA,RUBUNGO,7.0,1978.0,44,CAPTONE SHYAKA,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,5.0,M,nan,-1.921268564,30.15727661,RWANDA GASABO BUMBOGO KINYAGA RUBUNGO,KINYAGARUBUNGO,GASABOBUMBOGO,7.0/1978.0
5,CEN_1JK664679330,BOB,h,CYPRIEN,BOB  CYPRIEN,SOUTH,NYARUGURU,BUSANZE,RUNYOMBYI,BUGINA,12.0,nan,15,RUHUMURIZA NIYONSABA,6.0,NEVER MARRIED,5.0,M,4179948675.0,-2.769596855,29.51647312,RWANDA NYARUGURU BUSANZE RUNYOMBYI BUGINA,RUNYOMBYIBUGINA,NYARUGURUBUSANZE,12.0/nan
5,CEN_1KS862729097,MIHIGO,nan,BIZIMANA,MIHIGO  BIZIMANA,SOUTH,NYARUGURU,BUSANZE,RUNYOMBYI,BUGINA,nan,1998.0,27,RUHUMURIZA NIYONSABA,4.0,DIVORCED,1.0,M,4179948675.0,-2.769596855,29.51647312,RWANDA NYARUGURU BUSANZE RUNYOMBYI BUGINA,RUNYOMBYIBUGINA,NYARUGURUBUSANZE,nan/1998.0
5,CEN_1YQ368637470,RUHUMURIZA,nan,NIYONSABA,RUHUMURIZA  NIYONSABA,SOUTH,NYARUGURU,BUSANZE,RUNYOMBYI,BUGINA,2.0,1970.0,52,RUHUMURIZA NIYONSABA,7.0,WIDOWED,6.0,M,4179948675.0,-2.769596855,29.51647312,RWANDA NYARUGURU BUSANZE RUNYOMBYI BUGINA,RUNYOMBYIBUGINA,NYARUGURUBUSANZE,2.0/1970.0
6,CEN_20T980747706,TRESOR,HAGAI,BIENVENU,TRESOR HAGAI BIENVENU,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,nan,nan,9,RODRIGUE ANGE,6.0,NEVER MARRIED,10.0,M,nan,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO,nan/nan
6,CEN_2AR510329821,RODRIGUE,nan,ANGE,RODRIGUE  ANGE,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,7.0,nan,85,RODRIGUE ANGE,4.0,DIVORCED,13.0,M,nan,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO,7.0/nan
6,CEN_2DM676695622,OBED,LOUIS,GERMAIN,OBED LOUIS GERMAIN,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,10.0,nan,18,RODRIGUE ANGE,4.0,DIVORCED,10.0,M,nan,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO,10.0/nan
6,CEN_2FP499829763,ROSINE,nan,SHYAKA,ROSINE  SHYAKA,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,11.0,nan,15,RODRIGUE ANGE,6.0,NEVER MARRIED,3.0,F,nan,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO,11.0/nan
6,CEN_2GD566899259,JOSEE,BAKHITA,UWIZEYIMANA,JOSEE BAKHITA UWIZEYIMANA,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,9.0,1962.0,60,RODRIGUE ANGE,6.0,NEVER MARRIED,nan,F,nan,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO,9.0/1962.0
6,CEN_2JL058378386,GAEL,nan,DIEUDONNE,GAEL  DIEUDONNE,SOUTH,GISAGARA,GIKONKO,GASAGARA,REMERA,3.0,2009.0,14,RODRIGUE ANGE,6.0,NEVER MARRIED,3.0,M,nan,-2.583772104,29.83707738,RWANDA GISAGARA GIKONKO GASAGARA REMERA,GASAGARAREMERA,GISAGARAGIKONKO,3.0/2009.0
7,CEN_2KP260446094,ANITHA,nan,KAYITARE,ANITHA  KAYITARE,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,12.0,1978.0,84,DERRICK SYLVESTRE,nan,nan,9.0,nan,2162723616.0,-2.256896882,30.65046669,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA,12.0/1978.0
7,CEN_2ZF944688402,GABLIEL,nan,KAREMERA,GABLIEL  KAREMERA,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,7.0,1926.0,96,DERRICK SYLVESTRE,5.0,SEPARATED,11.0,M,2162723616.0,-2.256896882,30.65046669,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA,7.0/1926.0
7,CEN_36M147486551,DERRICK,nan,SYLVESTRE,DERRICK  SYLVESTRE,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,2.0,nan,98,DERRICK SYLVESTRE,3.0,LIVE IN A POLYGAMOUS UNION,3.0,M,2162723616.0,-2.256896882,30.65046669,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA,2.0/nan
7,CEN_3BJ127540951,nan,FRANCOIS,ELIAS, FRANCOIS ELIAS,EAST,KIREHE,GAHARA,MUHAMBA,CYOBAHARAYE,1.0,2015.0,44,DERRICK SYLVESTRE,5.0,SEPARATED,4.0,M,2162723616.0,-2.256896882,30.65046669,RWANDA KIREHE GAHARA MUHAMBA CYOBAHARAYE,MUHAMBACYOBAHARAYE,KIREHEGAHARA,1.0/2015.0
8,CEN_3KY581042298,CLAUDINE,nan,HABYARIMANA,CLAUDINE  HABYARIMANA,WEST,RUSIZI,BUGARAMA,NYANGE,KAMABUYE,11.0,1989.0,33,DIVINE NIYONSABA,5.0,SEPARATED,10.0,M,6496777626.0,-2.7048929210000003,29.02596462,RWANDA RUSIZI BUGARAMA NYANGE KAMABUYE,NYANGEKAMABUYE,RUSIZIBUGARAMA,11.0/1989.0
8,CEN_3OF723803597,JOSEE,nan,NKUSI,JOSEE  NKUSI,WEST,RUSIZI,BUGARAMA,NYANGE,KAMABUYE,6.0,1992.0,30,DIVINE NIYONSABA,3.0,LIVE IN A POLYGAMOUS UNION,11.0,F,6496777626.0,-2.7048929210000003,29.02596462,RWANDA RUSIZI BUGARAMA NYANGE KAMABUYE,NYANGEKAMABUYE,RUSIZIBUGARAMA,6.0/1992.0
8,CEN_3S1381142711,DIVINE,nan,NIYONSABA,DIVINE  NIYONSABA,WEST,RUSIZI,BUGARAMA,NYANGE,KAMABUYE,nan,1969.0,53,DIVINE NIYONSABA,5.0,SEPARATED,13.0,F,6496777626.0,-2.7048929210000003,29.02596462,RWANDA RUSIZI BUGARAMA NYANGE KAMABUYE,NYANGEKAMABUYE,RUSIZIBUGARAMA,nan/1969.0
9,CEN_3ZP934504863,HABY,nan,MYANEZA,HABY  MYANEZA,KIGALI,NYARUGENGE,GITEGA,AKABAHIZI,ITERAMBERE,9.0,nan,65,HABY MUNYANEZA,4.0,DIVORCED,9.0,M,nan,-1.956647295,30.05535943,RWANDA NYARUGENGE GITEGA AKABAHIZI ITERAMBERE,AKABAHIZIITERAMBERE,NYARUGENGEGITEGA,9.0/nan
10,CEN_40S561683784,NIYONYUGURA,nan,NDAYISHIMIYE,NIYONYUGURA  NDAYISHIMIYE,EAST,RWAMAGANA,FUMBWE,NYAGASAMBU,MATABA,5.0,2014.0,8,CONSTANTIN NZEYIMANA,6.0,NEVER MARRIED,12.0,M,nan,-1.8610319,30.28969291,RWANDA RWAMAGANA FUMBWE NYAGASAMBU MATABA,NYAGASAMBUMATABA,RWAMAGANAFUMBWE,5.0/2014.0
