hid_pes,puid_pes,forename_pes,middlenm_pes,last_name_pes,names_pes,province_pes,district_pes,sector_pes,cellule_pes,village_pes,month_pes,year_pes,age_pes,HoH_pes,marstat_pes,marstatdesc_pes,relationship_pes,sex_pes,telephone_pes,lat_pes,long_pes,full_loc_pes,EAid_pes,DSid_pes,dob_pes
1,PES_07H778157476,MUTERABA,nan,KAMANZI,MUTERABA  KAMANZI,NORTH,GAKENKE,BUSENGO,BIRAMBO,GITWA,11.0,nan,31.0,PRINCE BUSINGYE,3.0,LIVE IN A POLYGAMOUS UNION,8.0,F,8986093136.0,-2.144599815,29.52188657,RWANDA GAKENKE BUSENGO BIRAMBO GITWA,BIRAMBOGITWA,GAKENKEBUSENGO,11.0/nan
1,PES_0CG004517160,ISHIMWE,DIANE,GENA,ISHIMWE DIANE GENA,NORTH,GAKENKE,BUSENGO,BIRAMBO,GITWA,nan,1962.0,60.0,PRINCE BUSINGYE,3.0,LIVE IN A POLYGAMOUS UNION,nan,F,8986093136.0,-2.144599815,29.52188657,RWANDA GAKENKE BUSENGO BIRAMBO GITWA,BIRAMBOGITWA,GAKENKEBUSENGO,nan/1962.0
1,PES_0EK990819563,PRINCE,nan,BUSINGYE,PRINCE  BUSINGYE,NORTH,GAKENKE,BUSENGO,BIRAMBO,GITWA,9.0,1961.0,61.0,PRINCE BUSINGYE,3.0,LIVE IN A POLYGAMOUS UNION,4.0,M,8986093136.0,-2.144599815,29.52188657,RWANDA GAKENKE BUSENGO BIRAMBO GITWA,BIRAMBOGITWA,GAKENKEBUSENGO,9.0/1961.0
1,PES_0K1554251231,NAZOU,nan,NGABONZIZA,NAZOU  NGABONZIZA,NORTH,GAKENKE,BUSENGO,BIRAMBO,GITWA,12.0,2011.0,11.0,PRINCE BUSINGYE,nan,nan,5.0,F,8986093136.0,-2.144599815,29.52188657,RWANDA GAKENKE BUSENGO BIRAMBO GITWA,BIRAMBOGITWA,GAKENKEBUSENGO,12.0/2011.0
2,PES_0LN876294968,JEFF,nan,AIMABLE,JEFF  AIMABLE,SOUTH,NYARUGURU,BUSANZE,KIRARANGOMBE,BUKINANYANA,3.0,nan,63.0,JEFF AIMABLE,2.0,MARRIED TO ONE WIFE/HUSBAND NOT OFFICIALLY,10.0,M,6656909617.0,-2.868862308,29.31988462,RWANDA NYARUGURU BUSANZE KIRARANGOMBE BUKINANYANA,KIRARANGOMBEBUKINANYANA,NYARUGURUBUSANZE,3.0/nan
2,PES_0LU121262026,NSENGIMANA,nan,HATUNGIMANA,NSENGIMANA  HATUNGIMANA,SOUTH,NYARUGURU,BUSANZE,KIRARANGOMBE,BUKINANYANA,1.0,nan,34.0,JEFF AIMABLE,6.0,NEVER MARRIED,nan,M,6656909617.0,-2.868862308,29.31988462,RWANDA NYARUGURU BUSANZE KIRARANGOMBE BUKINANYANA,KIRARANGOMBEBUKINANYANA,NYARUGURUBUSANZE,1.0/nan
2,PES_0LZ241330567,AIMEE,nan,AUGUSTIN,AIMEE  AUGUSTIN,SOUTH,NYARUGURU,BUSANZE,KIRARANGOMBE,BUKINANYANA,1.0,1982.0,40.0,JEFF AIMABLE,1.0,MARRIED TO ONE WIFE/HUSBAND OFFICIALLY,9.0,F,6656909617.0,-2.868862308,29.31988462,RWANDA NYARUGURU BUSANZE KIRARANGOMBE BUKINANYANA,KIRARANGOMBEBUKINANYANA,NYARUGURUBUSANZE,1.0/1982.0
3,PES_0VH495447617,nan,nan,NSHIMIRIMANA,  NSHIMIRIMANA,WEST,NGORORERO,BWIRA,BUNGWE,KIRWA,5.0,1970.0,4.0,CAPTONE SHYAKA,6.0,NEVER MARRIED,4.0,M,nan,-1.9450019680000001,29.57078924,RWANDA NGORORERO BWIRA BUNGWE KIRWA,BUNGWEKIRWA,NGOROREROBWIRA,5.0/1970.0
3,PES_10K373893071,CAPTONE,nan,SHYAKA,CAPTONE  SHYAKA,WEST,NGORORERO,BWIRA,BUNGWE,KIRWA,9.0,nan,84.0,CAPTONE SHYAKA,3.0,LIVE IN A POLYGAMOUS UNION,7.0,M,nan,-1.9450019680000001,29.57078924,RWANDA NGORORERO BWIRA BUNGWE KIRWA,BUNGWEKIRWA,NGOROREROBWIRA,9.0/nan
3,PES_13A171377593,ALEX,nan,RAFIKI,ALEX  RAFIKI,WEST,NGORORERO,BWIRA,BUNGWE,KIRWA,11.0,2008.0,14.0,CAPTONE SHYAKA,6.0,NEVER MARRIED,4.0,M,nan,-1.9450019680000001,29.57078924,RWANDA NGORORERO BWIRA BUNGWE KIRWA,BUNGWEKIRWA,NGOROREROBWIRA,11.0/2008.0
